id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13173362,"BACK BAY 2 blocks subway, 1 street to Newbury St",38997,Michelle,,Back Bay,42.34777,-71.08493,Entire home/apt,133,29,2,2021-09-06,0.09,11,349,1,
13188501,"Beacon Hill Studio, close to Mass Gen & T Station",38997,Michelle,,Beacon Hill,42.36104,-71.07129,Entire home/apt,106,29,16,2020-03-14,0.24,11,245,0,
13239143,Small Room Renovated House Walk/Bus to Redline,18517776,Huggy,,Dorchester,42.30536,-71.07221,Private room,36,150,7,2018-06-20,0.10,31,365,0,
13239882,Off-St. Parking Large Room Clean Renovated House,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,36,150,0,,,31,365,0,
13242393,Renovated House near Subway/Rail Everything New,18517776,Huggy,,Dorchester,42.30536,-71.07221,Private room,36,150,3,2017-06-29,0.05,31,365,0,
13249829,Sunny and renovated 2 BDR in Beacon Hill,741190,Vincent,,Beacon Hill,42.35964,-71.06967,Entire home/apt,129,60,7,2019-08-28,0.11,1,0,0,
13249923,"Walk/Bus to Redline/Rail stations, Private Balcony",18517776,Huggy,,Dorchester,42.30536,-71.07221,Private room,36,150,3,2017-10-29,0.04,31,365,0,
13258244,Comfortable quite room.,67103816,Firlian,,Roxbury,42.31837,-71.09037,Private room,33,30,13,2020-09-19,0.19,7,71,0,
13298137,EZ to Downtown/Longwood Off-St Parking Renovated,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,33,150,2,2017-01-24,0.03,31,365,0,
13333623,Spacious One bedroom in South Boston's East side,17842524,Ryan,,South Boston,42.33234,-71.04269,Entire home/apt,175,91,0,,,1,0,0,
13334098,3BR + Office Single Family in Jamaica Plain,1176152,Josh,,Jamaica Plain,42.30911,-71.11592,Entire home/apt,150,91,3,2019-07-27,0.06,1,168,0,
13378923,Montgomery Place - Studio (Room 6),75997654,Kathe,,South End,42.34347,-71.07368,Entire home/apt,105,29,162,2021-10-30,2.46,3,130,3,
13378936,Montgomery Place - One Bedroom,75997654,Kathe,,South End,42.34347,-71.07368,Entire home/apt,145,29,136,2021-10-21,2.04,3,316,6,
13391640,Back Bay Apt - Close and Convenient to Everywhere,6032648,Madison,,Back Bay,42.35523,-71.07589,Entire home/apt,200,91,12,2016-08-30,0.18,1,0,0,
13393418,☆BostonAirport/T/Downtown/TDgarden/Convention Ctr☆,76181684,Sandra,,East Boston,42.37611,-71.03578,Entire home/apt,135,29,557,2020-03-23,8.47,1,8,0,STR-394016
13394184,East Boston Student Sublet $800/month,60246341,Seamus,,East Boston,42.36946,-71.03422,Private room,30,91,0,,,1,0,0,
13422887,"Small Room, Off-St. Parking, AC, Renovated Clean",18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,35,150,1,2016-08-28,0.02,31,365,0,
